,level_0,value,SAT,contrast,stimulus,parameter,participant,fit
376,29,3.9664,accuracy,4.0,right,v,data_S14.csv,0.0
377,1,0.6,,,,zr,data_S11.csv,0.0014
378,2,0.8773,accuracy,,,a,data_S11.csv,0.0014
379,3,6.7179,accuracy,5.0,right,v,data_S11.csv,0.0014
380,4,0.2083,accuracy,,,t0,data_S11.csv,0.0014
381,5,0.4024,accuracy,,,szr,data_S11.csv,0.0014
382,6,1.1965,,,,sv,data_S11.csv,0.0014
383,7,0.0745,,,,st0,data_S11.csv,0.0014
384,8,1.1595,accuracy,2.0,right,v,data_S11.csv,0.0014
385,9,5.8667,accuracy,4.0,right,v,data_S11.csv,0.0014
386,10,-5.5571,accuracy,5.0,left,v,data_S11.csv,0.0014
387,11,-0.0245,accuracy,1.0,left,v,data_S11.csv,0.0014
388,12,-4.9496,accuracy,4.0,left,v,data_S11.csv,0.0014
389,13,-0.3822,accuracy,2.0,left,v,data_S11.csv,0.0014
390,14,3.5223,accuracy,3.0,right,v,data_S11.csv,0.0014
391,15,-3.0158,accuracy,3.0,left,v,data_S11.csv,0.0014
392,16,0.5755,accuracy,1.0,right,v,data_S11.csv,0.0014
393,17,0.8655,speed,,,a,data_S11.csv,0.0014
394,18,4.7949,speed,5.0,right,v,data_S11.csv,0.0014
395,19,0.1914,speed,,,t0,data_S11.csv,0.0014
396,20,0.2545,speed,,,szr,data_S11.csv,0.0014
397,21,-4.1496,speed,4.0,left,v,data_S11.csv,0.0014
398,22,0.6606,speed,1.0,right,v,data_S11.csv,0.0014
399,23,3.8091,speed,4.0,right,v,data_S11.csv,0.0014
400,24,-5.5989,speed,5.0,left,v,data_S11.csv,0.0014
401,25,-2.0626,speed,3.0,left,v,data_S11.csv,0.0014
402,26,1.2931,speed,2.0,right,v,data_S11.csv,0.0014
403,27,0.0208,speed,1.0,left,v,data_S11.csv,0.0014
404,28,-0.364,speed,2.0,left,v,data_S11.csv,0.0014
405,29,2.6969,speed,3.0,right,v,data_S11.csv,0.0014
