,level_0,value,SAT,contrast,stimulus,parameter,participant,fit
348,19,2.9495,speed,5.0,right,v,data_S13.csv,0.0
349,20,0.2721,speed,,,t0,data_S13.csv,0.0
350,21,0.3538,speed,,,szr,data_S13.csv,0.0
351,22,0.7075,speed,1.0,right,v,data_S13.csv,0.0
352,23,2.2338,speed,3.0,right,v,data_S13.csv,0.0
353,24,4.0251,speed,4.0,right,v,data_S13.csv,0.0
354,25,0.7869,speed,1.0,left,v,data_S13.csv,0.0
355,26,-2.3676,speed,4.0,left,v,data_S13.csv,0.0
356,27,-3.1065,speed,5.0,left,v,data_S13.csv,0.0
357,28,1.384,speed,2.0,right,v,data_S13.csv,0.0
358,29,0.2121,speed,2.0,left,v,data_S13.csv,0.0
359,30,-0.7394,speed,3.0,left,v,data_S13.csv,0.0
360,1,0.5,,,,zr,data_S14.csv,0.0
361,2,0.9556,speed,,,a,data_S14.csv,0.0
362,3,-2.8411,speed,5.0,left,v,data_S14.csv,0.0
363,4,0.2143,speed,,,t0,data_S14.csv,0.0
364,5,-0.0024,,,,d,data_S14.csv,0.0
365,6,0.0649,speed,,,szr,data_S14.csv,0.0
366,7,0.2423,,,,sv,data_S14.csv,0.0
367,8,0.1032,,,,st0,data_S14.csv,0.0
368,9,3.0725,speed,4.0,right,v,data_S14.csv,0.0
369,10,0.3765,speed,2.0,right,v,data_S14.csv,0.0
370,11,0.7337,speed,3.0,right,v,data_S14.csv,0.0
371,12,-0.6465,speed,1.0,left,v,data_S14.csv,0.0
372,13,4.0396,speed,5.0,right,v,data_S14.csv,0.0
373,14,-0.8969,speed,2.0,left,v,data_S14.csv,0.0
374,15,-2.2703,speed,3.0,left,v,data_S14.csv,0.0
375,16,0.1333,speed,1.0,right,v,data_S14.csv,0.0
376,17,-2.2626,speed,4.0,left,v,data_S14.csv,0.0
377,18,1.2208,accuracy,,,a,data_S14.csv,0.0
378,19,-0.5335,accuracy,2.0,left,v,data_S14.csv,0.0
379,20,0.3119,accuracy,,,t0,data_S14.csv,0.0
380,21,0.2812,accuracy,,,szr,data_S14.csv,0.0
381,22,-3.6203,accuracy,4.0,left,v,data_S14.csv,0.0
382,23,0.8576,accuracy,2.0,right,v,data_S14.csv,0.0
383,24,1.5429,accuracy,3.0,right,v,data_S14.csv,0.0
384,25,-5.3196,accuracy,5.0,left,v,data_S14.csv,0.0
385,26,-1.7163,accuracy,3.0,left,v,data_S14.csv,0.0
386,27,0.4068,accuracy,1.0,right,v,data_S14.csv,0.0
387,28,-0.0659,accuracy,1.0,left,v,data_S14.csv,0.0
388,29,4.9411,accuracy,5.0,right,v,data_S14.csv,0.0
389,30,3.5912,accuracy,4.0,right,v,data_S14.csv,0.0
390,1,0.4688,,,,zr,data_S11.csv,0.0026
391,2,0.8945,accuracy,,,a,data_S11.csv,0.0026
392,3,6.0802,accuracy,5.0,right,v,data_S11.csv,0.0026
393,4,0.2802,accuracy,,,t0,data_S11.csv,0.0026
394,5,0.0345,,,,d,data_S11.csv,0.0026
395,6,0.3765,accuracy,,,szr,data_S11.csv,0.0026
396,7,1.1074,,,,sv,data_S11.csv,0.0026
397,8,0.0506,,,,st0,data_S11.csv,0.0026
398,9,1.6622,accuracy,2.0,right,v,data_S11.csv,0.0026
399,10,5.6508,accuracy,4.0,right,v,data_S11.csv,0.0026
400,11,-4.8214,accuracy,5.0,left,v,data_S11.csv,0.0026
401,12,0.3842,accuracy,1.0,left,v,data_S11.csv,0.0026
402,13,-3.5387,accuracy,4.0,left,v,data_S11.csv,0.0026
403,14,0.0456,accuracy,2.0,left,v,data_S11.csv,0.0026
404,15,3.7473,accuracy,3.0,right,v,data_S11.csv,0.0026
405,16,-2.1076,accuracy,3.0,left,v,data_S11.csv,0.0026
406,17,1.0839,accuracy,1.0,right,v,data_S11.csv,0.0026
407,18,0.9083,speed,,,a,data_S11.csv,0.0026
408,19,4.7315,speed,5.0,right,v,data_S11.csv,0.0026
409,20,0.2574,speed,,,t0,data_S11.csv,0.0026
410,21,0.0764,speed,,,szr,data_S11.csv,0.0026
411,22,-3.0144,speed,4.0,left,v,data_S11.csv,0.0026
412,23,0.9403,speed,1.0,right,v,data_S11.csv,0.0026
413,24,3.9337,speed,4.0,right,v,data_S11.csv,0.0026
414,25,-4.3781,speed,5.0,left,v,data_S11.csv,0.0026
415,26,-1.2612,speed,3.0,left,v,data_S11.csv,0.0026
416,27,1.4457,speed,2.0,right,v,data_S11.csv,0.0026
417,28,0.4335,speed,1.0,left,v,data_S11.csv,0.0026
418,29,0.1262,speed,2.0,left,v,data_S11.csv,0.0026
419,30,2.9935,speed,3.0,right,v,data_S11.csv,0.0026
